"state","population","urban_pop","murder","rape","assault"
"Alabama",3444165,1997616,455,730,8128
"Alaska",300382,144183,30,134,790
"Arizona",1770900,1416720,143,549,5206
"Arkansas",1923295,961648,169,375,3654
"California",19953134,18157352,1796,8101,55071
"Colorado",2207259,1721662,174,854,4503
"Connecticut",3031709,2334416,100,337,3335
"Delaware",548104,394635,32,87,1304
"Florida",6789443,5431554,1046,2166,22745
"Georgia",4589575,2753745,799,1184,9684
"Hawaii",768561,637906,41,155,354
"Idaho",712567,384786,19,101,855
"Illinois",11113976,9224600,1156,2667,27674
"Indiana",5193669,3375885,374,1091,5869
"Iowa",2824376,1609894,62,319,1582
"Kansas",2246578,1482741,135,404,2584
"Kentucky",3218706,1673727,312,525,3508
"Louisiana",3641306,2403262,561,808,9067
"Maine",992048,505944,21,77,823
"Maryland",3922399,2628007,443,1090,11767
"Massachusetts",5689170,4835794,250,927,8477
"Michigan",8875083,6567561,1074,3115,22631
"Minnesota",3804971,2511281,103,567,2740
"Mississippi",2216912,975441,357,379,5742
"Missouri",4676501,3273551,421,1319,8324
"Montana",694409,368037,42,114,757
"Nebraska",1483493,919766,64,245,1513
"Nevada",488738,395878,60,225,1232
"New Hampshire",737681,413101,15,70,420
"New Jersey",7168164,6379666,530,1348,11397
"New Mexico",1016000,711200,116,326,2896
"New York",18236967,15683792,2024,4760,46322
"North Carolina",5082059,2286927,661,818,17127
"North Dakota",617761,271815,5,45,278
"Ohio",10652017,7989013,778,2280,12782
"Oklahoma",2559229,1740276,169,512,3864
"Oregon",2091385,1401228,102,613,3325
"Pennsylvania",11793909,8491614,743,1757,12502
"Rhode Island",946725,823651,32,79,1647
"South Carolina",2590516,1243448,373,583,7228
"South Dakota",665507,299478,25,85,572
"Tennessee",3923687,2314975,518,1055,7377
"Texas",11196730,8957384,1422,2855,22505
"Utah",1059273,847418,34,243,1271
"Vermont",444330,142186,10,50,213
"Virginia",4648494,2928551,395,962,7252
"Washington",3409169,2488693,136,893,4943
"West Virginia",1744237,680252,99,162,1413
"Wisconsin",4417731,2915702,115,477,2341
"Wyoming",332416,199450,23,52,535
